SKU,Category,Style,Size,Amount,Core,price_level
MEN5028-KR-L,kurta,MEN5028,L,709.0,KR,High
JNE3405-KR-S,kurta,JNE3405,S,435.0,KR,low
JNE3761-KR-XXL,kurta,JNE3761,XXL,301.0,KR,low
JNE3721-KR-XL,kurta,JNE3721,XL,301.0,KR,low
PJNE3399-KR-N-4XL,kurta,PJNE3399,4XL,798.0,KR-N,Premium
SET196-KR-NP-M,Set,SET196,M,668.0,KR-NP,High
JNE3698-KR-L,kurta,JNE3698,L,399.0,KR,low
JNE3875-KR-XXL,kurta,JNE3875,XXL,599.0,KR,Medium
BL110-L,Blouse,BL110,L,333.0,null,low
BL100-XL,Blouse,BL100,XL,301.0,null,low
BL096-XL,Blouse,BL096,XL,301.0,null,low
BL098-XL,Blouse,BL098,XL,301.0,null,low
J0339-DR-M,Western Dress,J0339,M,825.0,DR,Premium
JNE3822-KR-L,kurta,JNE3822,L,449.0,KR,low
